city,state,population,latitude,longitude,town_matches,state_matches,city_matches,country_matches
Lakewood,CA,82496,33.854,-118.142,6,0,0,0
Mountain View,CA,82376,37.39,-122.081,6,0,0,0
Temple,TX,82073,31.097,-97.343,4,0,0,0
Layton,UT,81773,41.06,-111.966,3,0,0,0
Longview,TX,81638,32.495,-94.74,3,0,0,0
Flint,MI,81252,43.017,-83.691,1,0,0,0
Parma,OH,81146,41.405,-81.723,3,0,2,0
Somerville,MA,81045,42.388,-71.103,10,0,1,0
Plymouth,MN,81026,45.015,-93.472,17,0,1,0
Homestead,FL,80737,25.47,-80.477,2,0,0,0
Folsom,CA,80454,38.678,-121.176,3,0,0,0
Tustin,CA,80276,33.746,-117.825,1,0,0,0
Pleasanton,CA,79871,37.663,-121.875,4,0,0,0
Shelby,MI,79408,42.674,-83.04,7,0,0,0
Bellflower,CA,79190,33.882,-118.125,2,0,0,0
Bloomington,IN,79168,39.167,-86.535,5,0,0,0
Upland,CA,79040,34.094,-117.651,3,0,0,0
Lynchburg,VA,79009,37.415,-79.142,3,0,0,0
Bloomington,IL,78680,40.479,-88.994,5,0,0,0
Jonesboro,AR,78576,35.842,-90.705,5,0,0,0
Alameda,CA,78280,37.764,-122.243,0,0,1,0
Frederick,MD,78171,39.414,-77.411,5,0,0,0
Evanston,IL,78110,42.041,-87.69,1,0,0,0
Hammond,IN,77879,41.585,-87.481,6,0,0,0
Racine,WI,77816,42.727,-87.783,2,0,0,0
Arlington Heights,IL,77676,42.083,-87.983,1,0,0,0
Wyoming,MI,76501,42.914,-85.705,7,1,0,0
Pittsburg,CA,76416,38.025,-121.886,6,0,0,0
Loveland,CO,76378,40.395,-105.074,2,0,0,0
Scranton,PA,76328,41.409,-75.662,5,0,0,0
Auburn,AL,76143,32.607,-85.482,16,0,0,0
Apple Valley,CA,75791,34.501,-117.19,2,0,0,0
Bethlehem,PA,75781,40.622,-75.375,5,0,1,0
Appleton,WI,75644,44.262,-88.407,2,0,1,0
Woodbury,MN,75102,44.925,-92.96,8,0,0,0
North Port,FL,74793,27.044,-82.236,5,0,0,0
Rapid City,SD,74703,44.081,-103.227,1,0,0,0
Rock Hill,SC,74372,34.925,-81.025,2,0,0,0
Missouri City,TX,74259,29.596,-95.527,1,0,0,0
New Britain,CT,74135,41.676,-72.785,1,0,0,0
Mount Vernon,NY,73893,40.913,-73.837,15,0,0,0
Bismarck,ND,73622,46.805,-100.788,2,0,1,0
Kalamazoo,MI,73598,42.292,-85.583,1,0,0,0
Redmond,WA,73256,47.674,-122.122,2,0,0,0
Castle Rock,CO,73158,39.372,-104.856,1,0,0,0
Gulfport,MS,72926,30.369,-89.093,2,0,0,0
