city,lat,lng,population
Vishakhapatnam,17.7333,83.3167,2035922
Shengli,37.4500,118.4667,2035338
Gujranwala,32.1500,74.1833,2027001
Baicheng,45.6148,122.8320,2032356
Fushun,41.8708,123.8917,2024000
Bamako,12.6458,-7.9922,2009109
Quito,-0.2200,-78.5125,2011388
Minsk,53.9022,27.5618,2009786
Indore,22.7206,75.8472,1994397
Yinchuan,38.4795,106.2254,1993088
Kananga,-5.8961,22.4167,1971704
Peshawar,34.0000,71.5000,1970042
Sapporo,43.0621,141.3544,1961690
Esfahan,32.6447,51.6675,1961260
Caracas,10.5000,-66.9333,1943901
Pingxiang,27.6333,113.8500,1933200
Aleppo,36.2000,37.1500,1916781
Tijuana,32.5250,-117.0333,1922523
Almaty,43.2500,76.9000,1916822
Vienna,48.2083,16.3725,1911191
Thane,19.1800,72.9633,1886941
Blantyre,-15.7861,35.0058,1895973
Tainan,22.9833,120.1833,1883831
Zhuhai,22.2769,113.5678,1891100
Bucharest,44.4000,26.0833,1883425
Curitiba,-25.4297,-49.2719,1879355
Multan,30.1978,71.4711,1871843
Xiping,40.0820,113.2981,1873000
Ecatepec,19.6097,-99.0600,1857188
Jixi,45.2937,130.9650,1862165
Saidu Sharif,34.7500,72.3572,1860310
Liaoyang,41.2643,123.1772,1858768
Hamburg,53.5500,10.0000,1852478
Meru,0.0500,37.6500,1833000
Brazzaville,-4.2667,15.2833,1827000
Fuxin,42.0127,121.6486,1819339
Wuwei,37.9278,102.6329,1815059
Manaus,-3.1000,-60.0167,1802014
Bhopal,23.2500,77.4167,1798218
Warsaw,52.2300,21.0111,1790658
Lubumbashi,-11.6697,27.4581,1786397
Davao,7.0667,125.6000,1776949
Haikou,20.0200,110.3200,1776141
Damascus,33.5131,36.2919,1754000
Shuyangzha,34.1299,118.7734,1770000
Brussels,50.8353,4.3314,1743000
Lusaka,-15.4167,28.2833,1742979
Hyderabad City,25.3792,68.3683,1732693
Budapest,47.4983,19.0408,1723836
Shuozhou,39.3408,112.4292,1714857
Benxi,41.2920,123.7610,1709538
Baiyin,36.5448,104.1766,1708751
Patna,25.6100,85.1414,1684222
Mosul,36.3667,43.1167,1694000
Caloocan City,14.6500,120.9667,1661584
Sanzhou,30.8200,108.4000,1680000
Beihai,21.4667,109.1000,1680000
Mecca,21.4225,39.8261,1675368
Heihe,50.2458,127.4886,1673899
Jingdezhen,29.2942,117.2036,1673200
Conakry,9.5380,-13.6773,1667864
Kampala,0.3136,32.5811,1659600
Recife,-8.0539,-34.8808,1653461
Yushan,31.3867,120.9766,1651200
Zhongli,24.9650,121.2168,1632616
Bilaspur,22.1500,82.0167,1625502
Semarang,-6.9667,110.4167,1621384
Ludhiana,30.9083,75.8486,1618879
Novosibirsk,55.0333,82.9167,1602915
Chengtangcun,35.0833,117.1500,1603659
Agra,27.1724,78.0131,1592000
Karaj,35.8327,50.9915,1592492
Wenzhou,27.9991,120.6561,1588700
Leon de los Aldama,21.1167,-101.6833,1579803
Puebla,19.0333,-98.1833,1576259
Kalyan,19.2502,73.1602,1576614
Madurai,9.9197,78.1194,1561129
Mbuji-Mayi,-6.1209,23.5967,1559073
Hebi,35.7497,114.2887,1569208
Shiraz,29.6100,52.5425,1565572
Jamshedpur,22.8000,86.1833,1558000
Tabriz,38.0833,46.2833,1558693
Maracaibo,10.6333,-71.6333,1551539
Kawasaki,35.5167,139.7000,1539522
Aba,5.1167,7.3667,1530000
Palembang,-2.9833,104.7644,1535952
Zhangjiajie,29.1255,110.4844,1537900
Kobe,34.6913,135.1830,1513193
Changshu,31.6500,120.7333,1510100
Lianjiang,21.6146,110.2794,1509400
Ximeicun,24.9633,118.3811,1508000
Jianguang,28.1958,115.7833,1507402
Yucheng,29.9888,103.0007,1507258
Belem,-1.4558,-48.5039,1499641
Guiping,23.4000,110.0833,1496904
Leizhou,20.9147,110.0806,1494700
Gwangju,35.1667,126.9167,1490092
Munich,48.1375,11.5750,1488202
Nasik,20.0000,73.7833,1486053
Porto Alegre,-30.0328,-51.2300,1484941
Valencia,10.1667,-68.0000,1484430
Onitsha,6.1667,6.7833,1483000
Abu Dhabi,24.4511,54.3969,1483000
Daejeon,36.3510,127.3850,1475221
Zapopan,20.7167,-103.4000,1476491
Yekaterinburg,56.8356,60.6128,1468833
Huazhou,32.6832,112.0790,1468061
Kyoto,35.0117,135.7683,1464890
Shuangyashan,46.6388,131.1545,1462626
Pizhou,34.3422,118.0097,1458038
El Kelaa des Srarhna,32.0500,-7.4000,1450021
Kharkiv,50.0000,36.2292,1446107
Yangshe,31.8775,120.5512,1432044
Guyuan,36.0080,106.2782,1426000
Khulna,22.8167,89.5500,1400689
Muscat,23.6139,58.5922,1421409
Gaozhou,21.9135,110.8481,1414100
Chizhou,30.6583,117.4849,1402518
Faridabad,28.4353,77.3147,1394000
Ulaanbaatar,47.9214,106.9055,1396288
Goiania,-16.6806,-49.2564,1393575
Fuqing,25.7232,119.3735,1390487
Belgrade,44.8167,20.4667,1378682
Pingdu,36.7833,119.9556,1378900
Milan,45.4669,9.1900,1366180
Aurangabad,19.8800,75.3200,1371330
Yutan,28.3147,112.5540,1368117
Huangshan,29.7132,118.3151,1358980
Auckland,-36.8500,174.7833,1346091
Makassar,-5.1331,119.4136,1338663
Santiago,19.4500,-70.7000,1343423
Prague,50.0833,14.4167,1335084
Rajkot,22.2969,70.7984,1335397
Liangshi,27.2578,111.7351,1335900
Cordoba,-31.4167,-64.1833,1329604
Guarulhos,-23.4667,-46.5333,1324781
Al Basrah,30.5150,47.8100,1326564
Saitama,35.8617,139.6453,1320571
Juarez,31.7386,-106.4870,1321004
Montevideo,-34.8667,-56.1667,1319108
Xintai,35.9100,117.7800,1315942
Wusong,30.9333,117.7667,1311726
Meerut,28.9900,77.7000,1305429
Yushu,44.8249,126.5451,1304436
Rongcheng,26.2312,104.0966,1302891
Huazhou,21.6540,110.6294,1302100
Yangquan,37.8576,113.5762,1300000
Adelaide,-34.9275,138.6000,1295714
Baishan,41.9377,126.4179,1296127
Dayan,26.8808,100.2208,1296000
Haicheng,40.8523,122.7474,1293877
Jiangyin,31.9087,120.2653,1285785
Huaiyin,33.5819,119.0280,1264000
Wuzhong,37.9874,106.1919,1284000
Cacuaco,-8.7833,13.3667,1279488
Barranquilla,10.9639,-74.7964,1274250
Sofia,42.6979,23.3217,1277411
Soweto,-26.2678,27.8586,1271628
Jabalpur,23.1667,79.9333,1267564
Rucheng,32.3852,120.5634,1267066
Nizhniy Novgorod,56.3269,44.0075,1264075
Shaoyang,32.9387,119.8404,1253548
Dhanbad,23.7928,86.4350,1246000
Comayaguela,14.0833,-87.2167,1250000
Laiwu,36.1833,117.6667,1248636
Sharjah,25.3575,55.3919,1247749
Jingling,30.6667,113.1667,1247400
Kazan,55.7908,49.1144,1243500
Suwon,37.2858,127.0100,1234300
Yongcheng,33.9317,116.4459,1240382
Calgary,51.0500,-114.0667,1239220
Can Tho,10.0333,105.7833,1237300
Abuja,9.0556,7.4914,1235880
Mandalay,21.9831,96.0844,1225546
Beidao,34.6020,105.9180,1225000
Xiangshui,26.5964,104.8314,1221000
Dadukou,26.5849,101.7149,1214121
Vila Velha,3.2167,-51.2167,1209091
Chelyabinsk,55.1500,61.4000,1202371
Mombasa,-4.0500,39.6667,1200000
Varanasi,25.3189,83.0128,1198491
Qom,34.6400,50.8764,1201158
Zhangye,38.9355,100.4553,1199515
Hiroshima,34.4000,132.4500,1198021
Maiduguri,11.8333,13.1500,1197497
Maputo,-25.9153,32.5764,1191613
Doha,25.3000,51.5333,1186023
Rosario,-32.9575,-60.6394,1193605
Pikine,14.7500,-17.4000,1170791
Xinyu,27.7950,114.9242,1186700
Ahvaz,31.3203,48.6692,1184788
Medina,24.4667,39.6000,1180770
Srinagar,34.0911,74.8061,1180570
Omsk,54.9667,73.3833,1178391
Liaoyuan,42.8976,125.1381,1176239
Cilacap,-7.7167,109.0170,1174964
Yingtan,28.2333,117.0000,1175000
Bandar Lampung,-5.4294,105.2625,1166761
Samara,53.1833,50.1167,1169719
Guankou,28.2363,113.6984,1168056
Ulsan,35.5500,129.3167,1166033
Dingzhou,38.5158,114.9845,1165182
Campinas,-22.9009,-47.0573,1164098
Lianyuan,27.6961,111.6659,1162928
Dakar,14.7319,-17.4572,1146053
Rongcheng,29.8239,112.9019,1162770
Kaiyuan,36.0656,113.8153,1160000
Nay Pyi Taw,19.7475,96.1150,1160242
Kigali,-1.9536,30.0606,1156663
Leiyang,26.4179,112.8457,1151554
Yichun,47.7235,128.8893,1148126
Benin City,6.3176,5.6145,1147188
Birmingham,52.4800,-1.9025,1137100
Xiantao,30.3833,113.4000,1140100
Amritsar,31.6269,74.8770,1132383
Callao,-12.0611,-77.1333,1129854
Monterrey,25.6667,-100.3000,1135512
Aligarh,27.8800,78.0800,1131160
Yingchuan,34.1511,113.4733,1131896
Ciudad Nezahualcoyotl,19.4100,-99.0300,1109363
Tripoli,32.8752,13.1875,1126000
Nampo,38.7689,125.4505,1127000
Rostov,47.2333,39.7167,1125299
Tegucigalpa,14.0942,-87.2067,1126534
Tbilisi,41.7225,44.7925,1118035
Guwahati,26.1722,91.7458,1116267
Ufa,54.7261,55.9475,1115560
Fes,34.0433,-5.0033,1112072
Bien Hoa,10.9508,106.8221,1104000
N'Djamena,12.1100,15.0500,1092066
Ikare,7.5304,5.7600,1099931
Bhilai,21.2186,81.4314,1097000
Haora,22.5736,88.3251,1077075
Tamale,9.4075,-0.8533,1095808
Xibeijie,39.7370,98.5049,1095947
Copenhagen,55.6805,12.5615,1085000
Nezahualcoyotl,19.4000,-98.9889,1077208
Hanchuan,30.6520,113.8274,1092700
Gongzhuling,43.5036,124.8088,1092692
Krasnoyarsk,56.0089,92.8719,1083865
Cologne,50.9422,6.9578,1083498
Yicheng,31.3697,119.8239,1082929
Zhufeng,36.0000,119.4167,1081960
Sao Goncalo,-22.8269,-43.0539,1077687
Yerevan,40.1814,44.5144,1075800
Nur-Sultan,51.1333,71.4333,1078362
Nouakchott,18.0858,-15.9785,1077169
Vereeniging,-26.6736,27.9319,1074000
Sao Luis,-2.5300,-44.3028,1073893
Ranchi,23.3556,85.3347,1073440
San Pedro Sula,15.5000,-88.0333,1073824
Taixing,32.1724,120.0142,1073921
Gwalior,26.2150,78.1931,1069276
Goyang,37.6564,126.8350,1061929
Bezwada,16.5167,80.6167,1048240
Edmonton,53.5344,-113.4903,1062643
Bishkek,42.8667,74.5667,1053900
Mizhou,35.9900,119.3801,1060000
Tunis,36.8008,10.1800,1056247
Xishan,27.6609,113.4946,1060000
Ezhou,30.3972,114.8842,1059700
Barquisimeto,10.0678,-69.3467,1059092
Sendai,38.2683,140.8694,1058070
Hegang,47.3139,130.2775,1058665
Kathmandu,27.7167,85.3667,975453
Mexicali,32.6633,-115.4678,1049792
Voronezh,51.6717,39.2106,1047549
Perm,58.0139,56.2489,1048005
Changwon,35.2281,128.6811,1046054
Zhongwei,37.5139,105.1884,1046000
Shouguang,36.8833,118.7333,1039205
Bogor,-6.5917,106.8000,1030720
Cartagena,10.4236,-75.5253,1036412
Chandigarh,30.7353,76.7911,1026459
Matola,-25.9667,32.4667,1032197
Jodhpur,26.2944,73.0278,1033918
Ogbomoso,8.1333,4.2500,1032000
Shymkent,42.3000,69.6000,1028673
Niamey,13.5086,2.1111,1026848
Taizhou,28.6583,121.4221,1030200
Managua,12.1500,-86.2667,1028808
Bagam,1.0678,104.0167,1029808
