phoneme,name,latitude,longitude
01109,Brooklyn,31.056,-89.186
01123,Browning,33.518,-90.120
01135,Brownsville,32.449,-90.437
01187,Buena Vista,33.884,-88.838
01211,Burdett,33.348,-90.915
01231,Burnside,32.853,-89.103
01259,Buxton,34.548,-90.198
01277,Caile,33.300,-90.590
01309,Camden,32.782,-89.839
01330,Canaan,34.930,-89.127
01347,Cannonsburg,31.634,-91.211
01381,Carlisle,32.003,-90.784
01386,Carmichael,31.952,-88.585
01389,Carnes,30.994,-89.260
01391,Carolina,34.118,-88.482
01394,Carpenter,32.034,-90.680
01405,Carson,31.538,-89.795
01410,Carter,32.989,-90.449
01424,Cayce,34.955,-89.618
01426,Caseyville,31.673,-90.656
01468,Cayuga,32.159,-90.694
01482,Cedar Grove,32.349,-89.186
01540,Chalybeate,34.930,-88.868
01577,Chatham,33.101,-91.098
01594,Cheraw,31.156,-89.843
01597,Cherry Creek,34.351,-88.988
01609,Chester,33.359,-89.238
01645,Choctaw,33.558,-90.813
01645,Choctaw,32.778,-89.101
01654,Christmas,33.776,-90.978
01679,Claremont,34.121,-90.524
01704,Clay,34.270,-88.337
01709,Clayton,34.600,-90.416
01752,Clover Hill,34.275,-90.544
01790,Cockrum,34.803,-89.812
01815,Coles,31.277,-91.032
01890,Conn,31.898,-90.710
01922,Coosa,32.842,-89.422
01942,Corinth,31.344,-89.140
01982,Cottonville,34.659,-90.185
02006,Cowart,33.985,-90.178
02083,Cross Roads,32.249,-89.771
02084,Crossroads,30.885,-88.711
02123,Cullum,32.641,-88.608
02170,Daleville,32.570,-88.676
02254,Deerbrook,33.235,-88.487
02291,Denmark,34.311,-89.347
02299,Denton,34.146,-90.313
02368,Dockery,33.729,-90.617
02407,Dorsey,34.252,-88.510
02469,Duffee,32.489,-88.927
02490,Dunleith,33.436,-90.821
02513,Dwyer,33.564,-90.529
02530,Eagles Nest,34.292,-90.467
02561,East Lincoln,31.485,-90.292
02580,Eastland,33.651,-90.522
02585,Eastport,34.886,-88.101
02595,Ebenezer,32.971,-90.091
02620,Edinburg,32.799,-89.336
02634,Effie,33.935,-90.177
02640,Egremont,32.861,-90.903
02641,Egypt,33.898,-88.730
02641,Egypt,33.341,-90.277
02761,Energy,32.180,-88.550
02767,Enid,34.116,-89.939
02777,Enterprise,34.467,-89.157
02795,Erwin,33.104,-91.044
02800,Eskridge,33.575,-89.701
02806,Essex,34.330,-90.275
02834,Evansville,34.640,-90.389
02882,Fairview,33.509,-90.747
02902,Fame,33.664,-89.201
02906,Fannin,32.417,-89.957
03018,Flinn,34.046,-88.429
03020,Flint Hill,33.716,-88.276
03036,Flowers,32.389,-90.674
03069,Forreston,33.337,-88.314
03133,Franklin,33.036,-90.002
03187,Fruitland Park,30.916,-89.171
03297,Gholson,32.936,-88.734
03302,Gibson,33.840,-88.684
03338,Glen Allan,33.024,-91.030
03363,Glenville,34.528,-89.740
03395,Good Hope,33.102,-90.300
03395,Good Hope,32.628,-89.629
03395,Good Hope,31.363,-89.764
03395,Good Hope,32.728,-89.157
03395,Good Hope,31.404,-88.949
03421,Goss,31.356,-89.889
03434,Grady,33.513,-89.225
03535,Greenfield,32.249,-90.053
03611,Gwin,33.174,-90.223
03655,Hamburg,31.579,-91.067
03696,Hardy,33.882,-89.829
03728,Harriston,31.725,-91.032
03730,Harrisville,31.973,-90.078
03879,Hickory Grove,33.477,-88.707
03908,Highpoint,33.188,-89.146
03948,Hinkle,34.779,-88.621
03979,Hollis,33.863,-89.242
03985,Holly Ridge,33.446,-90.753
03987,Hollywood,34.745,-90.358
03990,Holmesville,31.204,-90.309
04005,Homewood,32.240,-89.506
04024,Hopewell,34.968,-89.048
04024,Hopewell,33.657,-88.854
04024,Hopewell,31.948,-90.215
04024,Hopewell,31.718,-89.471
04024,Hopewell,31.336,-89.661
04029,Hopson,34.159,-90.546
04031,Horatio,34.438,-90.056
04054,Howard,33.123,-90.191
04065,Hub,31.146,-89.750
04075,Hudsonville,34.861,-89.375
04098,Huntsville,33.348,-89.461
04101,Hurricane,34.351,-89.158
04102,Hustler,31.282,-90.698
04167,Ingomar,34.409,-89.037
04391,Kendrick,34.970,-88.382
04431,Kewanee,32.424,-88.438
04474,Kingston,31.406,-91.278
04492,Kirkville,34.451,-88.490
04492,Kirkville,31.213,-90.497
04523,Knoxville,31.379,-91.121
04575,Lackey,33.803,-88.462
04602,Lake Como,31.962,-89.213
04635,Lakeshore,30.247,-89.436
04657,Lamont,33.535,-91.076
04674,Langford,32.347,-89.972
04731,Lawrence,32.325,-89.233
04771,Leesburg,32.441,-89.760
04774,Leetown,30.559,-89.519
04817,Leverett,33.883,-90.076
04822,Lewisburg,34.862,-89.833
04881,Linn,33.660,-90.616
04906,Little Rock,32.526,-89.025
04915,Litton,33.646,-90.837
04920,Livingston,32.553,-90.216
04923,Loyd,33.958,-89.222
04946,Lodi,33.046,-90.410
04946,Lodi,33.550,-89.521
04983,Longstreet,34.113,-90.330
04984,Longtown,34.511,-90.124
05017,Lost Lake,34.784,-90.244
05031,Love,34.753,-89.970
05057,Lucien,31.517,-90.664
05062,Lux,31.445,-89.401
05065,Ludlow,32.572,-89.713
05146,Mahon,34.815,-89.515
05148,Mahned,31.209,-89.081
05231,Marcella,33.129,-90.297
05284,Martinsville,31.791,-90.407
05309,Matherville,31.866,-88.566
05319,Maud,34.562,-90.437
05326,Maxie,30.978,-89.196
05336,Mayhew,33.485,-88.634
05347,McAdams,33.021,-89.688
05352,McBride,31.766,-90.782
05381,McHenry,30.707,-89.138
05399,McNeill,30.669,-89.638
05400,McNutt,33.647,-90.372
05433,Meehan,32.328,-88.866
05474,Merrill,30.979,-88.721
05500,Michigan City,34.981,-89.251
05528,Midway,31.717,-90.556
05528,Midway,32.169,-90.376
05528,Midway,32.807,-89.441
05528,Midway,32.546,-89.532
05528,Midway,34.731,-88.225
05528,Midway,32.886,-90.192
05594,Mineral Wells,34.991,-89.866
05597,Mingo,34.632,-88.150
05608,Minot,33.942,-90.490
05651,Money,33.651,-90.209
05674,Monterey,32.185,-90.081
05679,Montgomery,33.297,-90.327
05686,Montpelier,33.718,-88.948
05696,Moon Lake,34.440,-90.495
05730,Morgantown,31.313,-89.916
05730,Morgantown,33.306,-88.997
05753,Moscow,32.710,-88.800
05759,Moss,31.815,-89.178
05841,Muldrow,33.547,-88.704
05855,Murphy,33.121,-90.701
05865,Muskegon,32.348,-89.352
05889,Napanee,33.506,-90.871
05893,Napoleon,30.326,-89.627
05922,Neely,31.165,-88.755
05938,Nesbit,34.882,-90.009
05991,New Harmony,34.394,-88.920
06114,Norfolk,34.951,-90.231
06124,Norris,32.294,-89.436
06273,Oil City,32.691,-90.434
06279,Oklahoma,33.334,-90.168
06297,Oldham,34.773,-88.128
06332,Onward,32.725,-90.942
06383,Osborn,33.521,-88.722
06454,Paynes,33.921,-90.069
06497,Parchman,33.932,-90.551
06534,Patmos,32.813,-90.728
06547,Paulding,32.031,-89.037
06623,Percy,33.109,-90.879
06654,Peyton,31.838,-90.802
06672,Phoenix,32.581,-90.563
06710,Pinckneyville,31.016,-91.481
06726,Pine Ridge,31.629,-91.345
06743,Piney Woods,32.063,-89.993
06749,Pinola,31.877,-89.962
06759,Pisgah,32.470,-89.870
06764,Pittsburg,34.551,-88.206
06794,Pleasant Grove,34.439,-90.089
06821,Plum Grove,33.310,-88.440
06823,Pluto,33.053,-90.381
06826,Pocahontas,32.474,-90.286
06829,Point,32.311,-88.891
06931,Prairie,33.797,-88.668
06955,Preston,32.883,-88.829
06961,Prichard,34.699,-90.244
06971,Progress,31.046,-90.327
06985,Pulaski,32.272,-89.602
07014,Quentin,31.506,-90.754
07017,Quincy,33.910,-88.367
07022,Quito,33.439,-90.301
07066,Randolph,34.181,-89.168
07122,Red Lick,31.793,-90.979
07148,Reid,34.002,-89.195
07157,Reform,33.431,-89.155
07158,Refuge,33.304,-91.136
07204,Rome,33.963,-90.478
07209,Rich,34.416,-90.445
07222,Richland,32.974,-89.986
07253,Riggins,34.051,-88.253
07271,Rising Sun,33.459,-90.209
07284,Riverdale,33.843,-89.825
07290,Riverview,34.284,-90.249
07335,Rockport,31.795,-90.156
07390,Rose Hill,32.145,-88.996
07390,Rose Hill,32.359,-90.807
07404,Rosetta,31.317,-91.101
07426,Round Lake,34.053,-90.853
07432,Roundaway,34.014,-90.598
07432,Roundaway,33.585,-90.606
07447,Ruby,31.946,-90.248
07447,Ruby,33.695,-90.228
07452,Rudyard,34.335,-90.537
07475,Russell,32.411,-88.594
07483,Ruth,31.382,-90.316
07536,Salem,34.852,-89.211
07589,Sand Hill,31.734,-90.306
07589,Sand Hill,31.350,-88.767
07589,Sand Hill,31.621,-89.282
07589,Sand Hill,32.488,-89.880
07602,Sandtown,32.795,-89.002
07607,Sandy Hook,31.036,-89.805
